Fund name,Fund size (in m €),Ticker
iShares EUR Corporate Bond ESG SRI UCITS ETF EUR (Acc),1391,SUA0
Amundi MSCI Emerging Markets ESG Selection UCITS ETF DR (C),1374,SADM
UBS Core S&P 500 UCITS ETF USD acc,1370,BCFT
UBS BBG MSCI Euro Area Liquid Corp Sustainable UCITS ETF EUR acc,1363,4UBF
Amundi Core MSCI World UCITS ETF USD Dist,1363,MWOE
BNP Paribas Easy MSCI USA Min TE UCITS ETF,1357,ENOA
Xtrackers S&P 500 Equal Weight UCITS ETF 2C EUR Hedged,1353,XDEE
Vanguard USD Treasury Bond UCITS ETF Accumulating,1353,VAGT
iShares Core MSCI Emerging Markets IMI UCITS ETF,1353,IBC3
BNP Paribas Easy MSCI Emerging Min TE UCITS ETF,1352,EMKX
iShares UK Dividend UCITS ETF,1350,IQQD
Amundi Nasdaq-100 Swap UCITS ETF EUR Acc,1349,6AQQ
UBS MSCI World UCITS ETF USD dis,1348,UIM7
UBS Core MSCI World UCITS ETF USD dis,1346,UBU7
WisdomTree Copper,1345,OD7C
iShares iBonds Dec 2028 Term EUR Corporate UCITS ETF EUR (Dist),1342,IB28
Franklin FTSE China UCITS ETF,1332,FLXC
iShares MSCI Europe Industrials Sector UCITS ETF EUR (Acc),1330,ESIN
Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 1C,1328,XZEW
Amundi DAX II UCITS ETF Acc,1327,LYY7
Amundi Floating Rate Euro Corporate ESG UCITS ETF EUR (C),1325,FRNE
